iter	Passed	Remaining
770	7111	2112
771	7120	2103
772	7131	2094
773	7141	2085
774	7151	2076
775	7162	2067
776	7172	2058
777	7181	2049
778	7191	2040
779	7201	2031
780	7212	2022
781	7222	2013
782	7232	2004
783	7242	1995
784	7251	1985
785	7260	1976
786	7269	1967
787	7279	1958
788	7288	1949
789	7298	1940
790	7307	1930
791	7316	1921
792	7327	1912
793	7336	1903
794	7345	1894
795	7354	1884
796	7364	1875
797	7374	1866
798	7383	1857
799	7393	1848
800	7403	1839
801	7412	1829
802	7422	1820
803	7431	1811
804	7442	1802
805	7452	1793
806	7461	1784
807	7472	1775
808	7480	1766
809	7490	1757
810	7500	1748
811	7509	1738
812	7519	1729
813	7529	1720
814	7539	1711
815	7548	1702
816	7558	1692
817	7568	1683
818	7578	1674
819	7588	1665
820	7596	1656
821	7606	1647
822	7616	1638
823	7626	1628
824	7637	1620
825	7648	1611
826	7658	1602
827	7668	1592
828	7676	1583
829	7685	1574
830	7692	1564
831	7701	1555
832	7709	1545
833	7718	1536
834	7726	1526
835	7735	1517
836	7743	1508
837	7752	1498
838	7760	1489
839	7769	1479
840	7777	1470
841	7785	1460
842	7792	1451
843	7801	1442
844	7809	1432
845	7818	1423
846	7826	1413
847	7835	1404
848	7843	1395
849	7853	1385
850	7861	1376
851	7869	1366
852	7878	1357
853	7886	1348
854	7895	1338
855	7903	1329
856	7911	1320
857	7919	1310
858	7927	1301
859	7936	1291
860	7945	1282
861	7953	1273
862	7961	1263
863	7970	1254
864	7978	1245
865	7985	1235
866	7994	1226
867	8001	1216
868	8008	1207
869	8016	1197
870	8023	1188
871	8030	1178
872	8038	1169
873	8046	1160
874	8053	1150
875	8061	1141
876	8068	1131
877	8076	1122
878	8083	1112
879	8090	1103
880	8097	1093
881	8105	1084
882	8112	1074
883	8120	1065
884	8128	1056
885	8136	1046
886	8145	1037
887	8152	1028
888	8160	1018
889	8168	1009
890	8177	1000
891	8184	991
892	8193	981
893	8201	972
894	8210	963
895	8218	953
896	8226	944
897	8234	935
898	8242	926
899	8250	916
900	8258	907
901	8265	898
902	8274	888
903	8282	879
904	8291	870
905	8299	861
906	8307	851
907	8316	842
908	8324	833
909	8332	824
910	8340	814
911	8348	805
912	8357	796
913	8364	787
914	8372	777
915	8381	768
916	8390	759
917	8397	750
918	8406	740
919	8414	731
920	8423	722
921	8432	713
922	8441	704
923	8449	695
924	8458	685
925	8466	676
926	8475	667
927	8483	658
928	8491	648
929	8499	639
930	8507	630
931	8516	621
932	8524	612
933	8532	602
934	8541	593
935	8549	584
936	8558	575
937	8565	566
938	8574	557
939	8581	547
940	8590	538
941	8597	529
942	8606	520
943	8614	511
944	8621	501
945	8629	492
946	8637	483
947	8645	474
948	8653	465
949	8661	455
950	8670	446
951	8678	437
952	8687	428
953	8695	419
954	8702	410
955	8711	400
956	8719	391
957	8727	382
958	8734	373
959	8743	364
960	8750	355
961	8758	345
962	8766	336
963	8775	327
964	8783	318
965	8792	309
966	8801	300
967	8808	291
968	8816	282
969	8824	272
970	8831	263
971	8840	254
972	8847	245
973	8855	236
974	8863	227
975	8871	218
976	8880	209
977	8888	199
978	8897	190
979	8906	181
980	8914	172
981	8922	163
982	8930	154
983	8939	145
984	8946	136
985	8955	127
986	8963	118
987	8971	108
988	8979	99
989	8987	90
990	8995	81
991	9003	72
992	9011	63
993	9019	54
994	9026	45
995	9035	36
996	9044	27
997	9052	18
998	9060	9
999	9069	0
